componentInstanceURI,slotNumber,instrumentInstanceURI,instrumentLabel,oldLabel,newLabel,inferenceSource,whyThisIsBetter
pmsr:CPI1953104334163,0001,pmsr:INI1784879596190461,Low-Fidelity Mannequin. SN: 080001,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 080001,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0941693965836,0002,pmsr:INI1784879596190461,Low-Fidelity Mannequin. SN: 080001,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 080001,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI8042736800175,0001,pmsr:INI1784879596852331,Low-Fidelity Mannequin. SN: 080002,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 080002,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI6008319939197,0002,pmsr:INI1784879596852331,Low-Fidelity Mannequin. SN: 080002,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 080002,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI3089947718071,0001,pmsr:INI1784879596301331,Low-Fidelity Mannequin. SN: 080003,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 080003,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI0837530856940,0002,pmsr:INI1784879596301331,Low-Fidelity Mannequin. SN: 080003,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 080003,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4719063301206,0001,pmsr:INI1784879596663271,Low-Fidelity Mannequin. SN: 080004,Low-Fidelity Mannequin Detector for Low-Fidelity Mannequin. SN: 080004,Primary state detector for simulator condition monitoring,generic-detector-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI1364291124520,0002,pmsr:INI1784879596663271,Low-Fidelity Mannequin. SN: 080004,Low-Fidelity Mannequin Actuator for Low-Fidelity Mannequin. SN: 080004,Primary response actuator for driving simulator state transitions,generic-actuator-slot-inference,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI5562818936041,0001,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,Skill Guide Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 080005,Learner guidance status detector for procedural coaching workflow,skill-guide-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
pmsr:CPI4860657706081,0002,pmsr:INI1784879596202791,Laerdal Nursing Anne Mannequin. SN: 080005,SimPad Device  -- CB:EMPTY for Laerdal Nursing Anne Mannequin. SN: 080005,Scenario control actuator for simulation state orchestration,simpad-evidence,Replaces generic or placeholder wording with explicit component function and simulator-use purpose.
